ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count
11,1,2022-03-15 20:32:21,0000-00-00 00:00:00,"",Auto Draft,"",auto-draft,open,open,"","","","",2022-03-15 20:32:21,0000-00-00 00:00:00,"",0,http://local.wordpresstest.com/?p=11,0,post,"",0
12,1,2022-03-15 20:32:28,2022-03-15 20:32:28,"{""version"": 2, ""isGlobalStylesUserThemeJSON"": true }",Custom Styles,"",publish,closed,closed,"",wp-global-styles-twentytwenty,"","",2022-03-15 20:32:28,2022-03-15 20:32:28,"",0,http://local.wordpresstest.com/?p=12,0,wp_global_styles,"",0
13,1,2022-03-15 20:33:32,2022-03-15 20:33:32,"<!-- wp:paragraph -->
<p>Welcome to WordPress. This is your first post. Edit or delete it, then start writing!</p>
<!-- /wp:paragraph -->",Hello world!,"",inherit,closed,closed,"",1-revision-v1,"","",2022-03-15 20:33:32,2022-03-15 20:33:32,"",1,http://local.wordpresstest.com/?p=13,0,revision,"",0
14,1,2022-03-15 20:47:01,2022-03-15 20:47:01,"",Kayak Category,"",inherit,open,closed,"",kayak-category,"","",2022-03-15 20:47:24,2022-03-15 20:47:24,"",0,http://local.wordpresstest.com/wp-content/uploads/2022/03/Kayak-Category.png,0,attachment,image/png,0
15,1,2022-03-15 20:48:20,2022-03-15 20:48:20,"",Marine Category,"",inherit,open,closed,"",marine-category,"","",2022-03-15 20:48:46,2022-03-15 20:48:46,"",0,http://local.wordpresstest.com/wp-content/uploads/2022/03/Marine-Category.png,0,attachment,image/png,0
16,1,2022-03-15 20:49:28,2022-03-15 20:49:28,"",Jetsurf Category,"",inherit,open,closed,"",jetsurf-category,"","",2022-03-15 20:49:40,2022-03-15 20:49:40,"",0,http://local.wordpresstest.com/wp-content/uploads/2022/03/Jetsurf-Category.png,0,attachment,image/png,0
17,1,2022-03-15 20:50:12,2022-03-15 20:50:12,"",Racks Category,"",inherit,open,closed,"",racks-category,"","",2022-03-15 20:50:24,2022-03-15 20:50:24,"",0,http://local.wordpresstest.com/wp-content/uploads/2022/03/Racks-Category.png,0,attachment,image/png,0
18,1,2022-03-15 21:24:34,2022-03-15 21:24:34,"",Sea Kayaks,"",inherit,open,closed,"",sea-kayaks,"","",2022-03-15 21:24:45,2022-03-15 21:24:45,"",0,http://local.wordpresstest.com/wp-content/uploads/2022/03/Sea-Kayaks.png,0,attachment,image/png,0
19,1,2022-03-15 21:25:52,2022-03-15 21:25:52,"",Inflatable Kayaks,"",inherit,open,closed,"",inflatable-kayaks,"","",2022-03-15 21:26:02,2022-03-15 21:26:02,"",0,http://local.wordpresstest.com/wp-content/uploads/2022/03/Inflatable-Kayaks.png,0,attachment,image/png,0
20,1,2022-03-15 21:26:59,2022-03-15 21:26:59,"",Fishing,"",inherit,open,closed,"",fishing,"","",2022-03-15 21:27:12,2022-03-15 21:27:12,"",0,http://local.wordpresstest.com/wp-content/uploads/2022/03/Fishing.png,0,attachment,image/png,0
21,1,2022-03-15 21:28:13,2022-03-15 21:28:13,"",Sit On Top,"",inherit,open,closed,"",sit-on-top,"","",2022-03-15 21:28:23,2022-03-15 21:28:23,"",0,http://local.wordpresstest.com/wp-content/uploads/2022/03/Sit-On-Top.png,0,attachment,image/png,0
22,1,2022-03-15 21:28:46,2022-03-15 21:28:46,"",Kids,"",inherit,open,closed,"",kids,"","",2022-03-15 21:28:51,2022-03-15 21:28:51,"",0,http://local.wordpresstest.com/wp-content/uploads/2022/03/Kids.png,0,attachment,image/png,0
